"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.441603085E0,2.914391160E-1,1.126890182E-1,-2.586801052E0
1.446620846E0,3.042066097E-1,1.505684853E-1,-2.464149475E0
1.451638606E0,3.140661716E-1,2.041339874E-1,-2.329169750E0
1.456656367E0,3.739676476E-1,2.493133545E-1,-2.186559677E0
1.461674127E0,4.172307253E-1,3.194189072E-1,-2.017163277E0
1.466691887E0,4.823499918E-1,3.330540657E-1,-1.844760418E0
1.471709648E0,5.218343735E-1,3.904089928E-1,-1.707335472E0
1.476727408E0,5.885984302E-1,4.005932808E-1,-1.542660236E0
1.481745169E0,6.157758236E-1,4.926156998E-1,-1.369890690E0
1.486762929E0,5.788598657E-1,6.091365814E-1,-1.122358322E0
1.491780689E0,5.150994062E-1,8.123250008E-1,-8.910956383E-1
1.496798450E0,4.999399781E-1,9.302520752E-1,-6.379532814E-1
1.501816210E0,4.940364361E-1,9.729423523E-1,-3.726744652E-1
1.506833971E0,4.777070880E-1,1.055221081E0,-4.281234741E-2
1.511851731E0,4.744773805E-1,1.181587696E0,2.990756035E-1
1.516869492E0,4.411616027E-1,1.322969913E0,6.389222145E-1
1.521887252E0,4.399380684E-1,1.412099838E0,9.914360046E-1
1.526905012E0,4.181546867E-1,1.486771107E0,1.466887474E0
1.531922773E0,3.328106105E-1,1.546474457E0,1.864953995E0
1.536940533E0,1.461914331E-1,1.643348694E0,2.171954155E0
1.541958294E0,-1.314062476E-1,1.719551563E0,2.398146152E0
1.546976054E0,-4.419107437E-1,1.832163334E0,2.524934292E0
1.551993814E0,-7.561807632E-1,2.004822731E0,2.633877277E0
1.557011575E0,-1.036159158E0,2.175097466E0,2.739538193E0
1.562029335E0,-1.268002868E0,2.352613926E0,2.755952358E0
1.567047096E0,-1.371217370E0,2.513706684E0,2.845482349E0
1.572065377E0,-1.395009398E0,2.667964458E0,2.969720840E0
1.577082773E0,-1.340894580E0,2.782140732E0,3.090229511E0
1.582100169E0,-1.239165902E0,2.880295753E0,3.197398663E0
1.587117564E0,-1.133854985E0,3.043768883E0,3.257706642E0
1.592134960E0,-9.778596163E-1,3.234396935E0,3.209033966E0
1.597152408E0,-7.567661405E-1,3.342465878E0,3.042043209E0
1.602169908E0,-5.230715275E-1,3.407003403E0,2.847271442E0
1.607187460E0,-2.626938820E-1,3.423955917E0,2.714972496E0
1.612205064E0,1.442333311E-2,3.384657383E0,2.596558571E0
1.617222721E0,2.456717938E-1,3.270920753E0,2.505665779E0
1.622240429E0,4.686946869E-1,3.145770550E0,2.446364880E0
1.627258189E0,7.170749903E-1,2.847528934E0,2.341727734E0
1.632276002E0,9.774277210E-1,2.453928471E0,2.229393482E0
1.637293867E0,1.208447933E0,2.047084332E0,2.285437584E0
1.642311783E0,1.412182808E0,1.655933857E0,2.504363060E0
1.647329752E0,1.609961629E0,1.203567505E0,2.909990311E0
1.652347773E0,1.813586473E0,7.131237984E-1,3.440495968E0
1.657365794E0,2.025414705E0,2.740192413E-1,4.044159412E0
1.662383814E0,2.204665661E0,-1.251873970E-1,4.683973312E0
1.667401835E0,2.362757206E0,-5.248489380E-1,5.261218071E0
1.672419856E0,2.433779955E0,-9.318418503E-1,5.710958004E0
1.677437773E0,2.379312277E0,-1.266587257E0,5.891710281E0
1.682455533E0,2.079416752E0,-1.353734493E0,5.738368034E0
1.687473294E0,1.629163265E0,-1.328310490E0,5.257272720E0
1.692491002E0,1.156624794E0,-1.314888000E0,4.592792511E0
1.697508710E0,7.225913405E-1,-1.298726559E0,3.821640968E0
1.702526419E0,4.112752676E-1,-1.331537247E0,3.024753571E0
1.707544127E0,1.869994998E-1,-1.387887955E0,2.186834335E0
1.712561835E0,-1.841503382E-2,-1.399443150E0,1.297303200E0
1.717579544E0,-1.532303691E-1,-1.398456097E0,4.554820061E-1
1.722597252E0,-2.232928872E-1,-1.393330574E0,-3.970522881E-1
1.727614960E0,-2.433979511E-1,-1.449715614E0,-1.204082012E0
1.732632669E0,-1.565487981E-1,-1.509029865E0,-1.861768246E0
1.737650377E0,-1.617467403E-2,-1.551261902E0,-2.376156807E0
1.742668085E0,9.657901525E-2,-1.580506325E0,-2.757988930E0
1.747685794E0,2.296459079E-1,-1.629719734E0,-3.079821110E0
1.752703502E0,3.978590369E-1,-1.693834782E0,-3.294428825E0
1.757721210E0,5.732232332E-1,-1.748812675E0,-3.392835855E0
1.762738919E0,7.707146406E-1,-1.799499035E0,-3.346806765E0
1.767756627E0,9.625115395E-1,-1.822235584E0,-3.295171499E0
1.772774335E0,1.145294070E0,-1.846163750E0,-3.232995987E0
1.777792044E0,1.287163019E0,-1.871716022E0,-3.164907932E0
1.782809752E0,1.361183643E0,-1.904132843E0,-3.152818680E0
1.787827460E0,1.388084650E0,-1.943760395E0,-3.158285618E0
1.792845169E0,1.349882126E0,-1.986056805E0,-3.228957891E0
1.797862877E0,1.233153582E0,-2.007219791E0,-3.259672880E0
1.802880585E0,9.571417570E-1,-2.040938854E0,-3.250367403E0
1.807898294E0,6.321285963E-1,-2.082495689E0,-3.286983252E0
1.812916002E0,3.103065491E-1,-2.098458290E0,-3.302386999E0
1.817933710E0,5.378246307E-3,-2.069736004E0,-3.234434128E0
1.822951419E0,-2.835364938E-1,-2.053930759E0,-3.192768097E0
1.827969127E0,-5.090732574E-1,-2.060704231E0,-3.157906055E0
1.832986835E0,-7.197592258E-1,-2.056722641E0,-3.105594158E0
1.838004544E0,-9.498494267E-1,-1.980144978E0,-3.016351700E0
1.843022252E0,-1.186308980E0,-1.850325108E0,-2.866064072E0
1.848040012E0,-1.378051519E0,-1.739165306E0,-2.692715168E0
1.853057773E0,-1.540952563E0,-1.623010635E0,-2.443364620E0
1.858075533E0,-1.643100739E0,-1.502185345E0,-2.127308846E0
1.863093294E0,-1.719306707E0,-1.377231598E0,-1.863521576E0
1.868111054E0,-1.827666402E0,-1.205721378E0,-1.632252693E0
1.873128814E0,-1.935179710E0,-1.016932011E0,-1.471196175E0
1.878146575E0,-2.041822195E0,-8.591446877E-1,-1.327289581E0
1.883164335E0,-2.056644440E0,-7.281918526E-1,-1.199965954E0
1.888182096E0,-1.998629808E0,-6.294088364E-1,-1.064849377E0
1.893199856E0,-1.915385246E0,-5.058217049E-1,-1.026749134E0
1.898217617E0,-1.835171938E0,-3.674278259E-1,-9.896497726E-1
1.903235377E0,-1.691107035E0,-2.812366486E-1,-9.869289398E-1
1.908253137E0,-1.464310408E0,-2.276577950E-1,-1.037943363E0
1.913270898E0,-1.255148888E0,-1.344890594E-1,-1.214648247E0
1.918288658E0,-1.048874140E0,-2.988386154E-2,-1.469532490E0
